team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
300,2040,158,6,0,0,76,760,3008,937,2014,57,34,0,6,406,106,0,6042,0,0.9811,4.3957,0.2611,0.0000
301,2040,158,6,0,0,76,760,2837,744,2037,56,22,0,4,236,98,0,6111,0,0.9803,4.0957,0.4153,0.0000
302,2040,158,6,0,0,76,760,2874,750,2055,69,21,0,4,340,146,0,6165,0,0.9760,4.0949,0.4294,0.0000
303,2040,158,6,0,0,76,760,2920,706,2136,78,29,0,7,302,104,0,6408,0,0.9733,3.9916,0.3444,0.0000
304,2040,158,6,0,0,76,760,2904,763,2091,50,24,0,4,228,80,0,6273,0,0.9828,4.0947,0.3509,0.0000
305,2040,158,6,0,0,76,760,2946,741,2153,52,20,1,4,234,66,0,6459,0,0.9823,4.0325,0.2821,0.0000
306,2040,158,6,0,0,76,760,3049,943,1995,111,35,0,6,520,146,0,5985,0,0.9636,4.4180,0.2808,0.0000
307,2040,158,6,0,0,76,760,2995,910,2031,54,35,0,2,446,146,0,6093,0,0.9820,4.3442,0.3274,0.0000
308,2040,158,6,0,0,76,760,2977,807,2091,79,26,0,4,292,110,0,6273,0,0.9735,4.1578,0.3767,0.0000
309,2040,159,6,0,0,62,620,2335,587,1701,47,34,0,4,180,58,0,5103,0,0.9799,4.0353,0.3222,0.0000
310,2040,159,6,0,0,59,590,2156,503,1610,43,14,0,0,126,40,0,4830,0,0.9801,3.9373,0.3175,0.0000
312,2040,159,6,0,0,62,620,2424,710,1617,97,25,0,46,362,60,0,4851,0,0.9600,4.3173,0.1657,0.0000
313,2040,159,6,0,0,59,590,2294,603,1562,129,20,0,45,318,86,0,4686,0,0.9438,4.1581,0.2704,0.0000
314,2040,159,6,0,0,62,620,2349,639,1680,30,29,0,3,184,84,0,5040,0,0.9872,4.1411,0.4565,0.0000
315,2040,159,6,0,0,58,580,2322,745,1524,53,35,0,1,238,78,0,4572,0,0.9772,4.4665,0.3277,0.0000
316,2040,159,6,0,0,59,590,2235,615,1568,52,19,0,11,180,50,0,4704,0,0.9767,4.1767,0.2778,0.0000
317,2040,159,6,0,0,59,590,2282,621,1609,52,22,0,12,190,82,0,4827,0,0.9772,4.1579,0.4316,0.0000
318,2040,160,6,0,0,65,650,2281,478,1769,34,13,0,5,86,26,0,5307,0,0.9851,3.8106,0.3023,0.0000
319,2040,160,6,0,0,65,650,2368,536,1793,39,22,0,1,106,34,0,5379,0,0.9835,3.8968,0.3208,0.0000
320,2040,160,6,0,0,65,650,2489,738,1702,49,36,0,3,270,90,0,5106,0,0.9803,4.3008,0.3333,0.0000
322,2040,160,6,0,0,61,610,2292,593,1650,49,15,0,2,214,72,0,4950,0,0.9786,4.0782,0.3364,0.0000
323,2040,160,6,0,0,62,620,2360,662,1660,38,35,0,1,132,60,0,4980,0,0.9839,4.1964,0.4545,0.0000
324,2040,160,6,0,0,65,650,2482,685,1730,67,13,0,3,188,76,0,5190,0,0.9730,4.1879,0.4043,0.0000
325,2040,160,6,0,0,60,600,2374,668,1640,66,34,0,6,258,102,0,4920,0,0.9722,4.2220,0.3953,0.0000
326,2040,160,6,0,0,65,650,2466,653,1749,64,24,0,1,234,74,0,5247,0,0.9740,4.1201,0.3162,0.0000
327,2040,159,6,0,0,62,620,2354,624,1672,58,15,0,1,230,66,0,5016,0,0.9754,4.1196,0.2870,0.0000
328,2040,160,6,0,0,65,650,2436,638,1765,33,23,0,5,112,40,0,5295,0,0.9865,4.0844,0.3571,0.0000
329,2040,159,6,0,0,62,620,2354,653,1628,73,22,0,29,236,64,0,4890,0,0.9690,4.1982,0.2712,0.0000
330,2040,160,6,0,0,65,650,2442,636,1762,44,29,0,2,124,48,0,5289,0,0.9820,4.0805,0.3871,0.0000
331,2040,160,6,0,0,65,650,2560,812,1682,66,30,0,16,366,114,0,5046,0,0.9742,4.4483,0.3115,0.0000
332,2040,160,6,0,0,65,650,2488,672,1718,98,29,0,44,208,48,0,5154,0,0.9606,4.1735,0.2308,0.0000
333,2040,161,6,0,0,74,740,2868,767,2027,74,23,0,2,262,122,0,6081,0,0.9742,4.1352,0.4656,0.0000
334,2040,161,6,0,0,73,730,2887,793,2014,80,37,0,63,312,68,0,6042,0,0.9723,4.1812,0.2179,0.0000
335,2040,161,6,0,0,74,740,2835,755,2018,62,23,0,0,218,98,0,6054,0,0.9781,4.1224,0.4495,0.0000
336,2040,161,6,0,0,73,730,2895,834,1995,66,28,1,6,220,90,0,5985,0,0.9772,4.2541,0.4091,0.0000
337,2040,161,6,0,0,72,720,2806,759,1998,49,32,0,1,210,80,0,5994,0,0.9825,4.1396,0.3810,0.0000
338,2040,161,6,0,0,74,740,2971,956,1926,89,36,0,2,436,124,0,5778,0,0.9700,4.4891,0.2844,0.0000
339,2040,161,6,0,0,74,740,2850,794,1999,57,35,0,2,232,82,0,5997,0,0.9800,4.1916,0.3534,0.0000
340,2040,161,6,0,0,74,740,2796,730,1933,133,23,0,53,466,116,0,5799,0,0.9524,4.1330,0.2489,0.0000
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
