message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
2789,"",42499,44586,19797,43407,0,53,31,0,0,0,145,0,3,1,3,5,53,0,0,"2039-4-18",0,1,-1,0
2790,"",31670,0,0,0,0,305,306,0,0,0,158,0,3,4,2,5,305,0,0,"2039-4-18",0,1,-1,0
2791,"",43336,0,0,0,0,278,0,0,0,0,156,0,3,8,1,5,278,0,-5,"2039-4-18",0,1,-1,0
2792,"",45582,0,0,0,0,316,0,0,0,0,159,0,3,8,1,5,316,0,-5,"2039-4-18",0,1,-1,0
2793,"",49937,49853,0,0,0,902,892,0,0,0,102,0,3,3,1,5,902,0,0,"2039-4-18",0,1,-1,0
2794,"",43389,0,0,0,0,243,228,0,0,0,153,0,3,4,3,5,243,0,0,"2039-4-18",0,1,-1,0
2795,"",24112,0,0,0,0,43,60,0,0,0,145,0,3,4,2,5,43,0,0,"2039-4-18",0,1,-1,0
2796,"",49313,0,0,0,0,877,876,0,0,0,102,0,3,4,2,5,877,0,0,"2039-4-18",0,1,-1,0
2797,"",27305,0,0,0,0,203,205,0,0,0,149,0,3,4,2,5,203,0,0,"2039-4-18",0,1,-1,0
2798,"",49762,0,0,0,0,883,884,0,0,0,102,0,3,4,2,5,883,0,0,"2039-4-18",0,1,-1,0
2799,"",0,0,0,0,0,45,0,0,0,0,0,0,1,9,2,5,45,33,0,"2039-4-18",0,1,-1,0
2800,"",0,0,0,0,0,53,0,0,0,0,0,0,1,9,2,5,53,67,0,"2039-4-18",0,1,-1,0
2801,"",49420,0,0,0,0,878,868,0,0,0,102,0,3,4,2,5,878,0,0,"2039-4-18",0,1,-1,0
2802,"",0,0,0,0,0,792,807,0,0,0,100,0,1,3,3,5,100,0,0,"2039-4-18",0,1,-1,0
2803,"",0,0,0,0,0,861,850,0,0,0,101,0,1,3,3,5,101,0,0,"2039-4-18",0,1,-1,0
2804,"",0,0,0,0,0,868,0,0,0,0,102,0,1,3,3,5,868,0,0,"2039-4-19",0,1,-1,0
2805,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,"2039-4-19",0,1,-1,0
2806,"",44005,0,0,0,0,58,0,0,0,0,0,0,0,2,0,2,44005,66,0,"2039-4-19",0,1,-1,0
2807,"",44290,0,0,0,0,47,0,0,0,0,0,0,0,2,0,2,44290,48,0,"2039-4-19",0,1,-1,0
2808,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-19",0,1,-1,0
2809,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-19",0,1,-1,0
2810,"",38903,0,0,0,0,43,0,0,0,0,145,0,3,8,1,5,43,0,-5,"2039-4-19",0,1,-1,0
2811,"",46032,0,0,0,0,594,0,0,0,0,172,0,3,8,1,5,594,0,-5,"2039-4-19",0,1,-1,0
2812,"",21730,0,0,0,0,58,42,0,0,0,145,0,3,4,2,5,58,0,0,"2039-4-19",0,1,-1,0
2813,"",20710,0,0,0,0,276,0,0,0,0,155,0,3,8,1,5,276,0,-5,"2039-4-19",0,1,-1,0
2814,"",43236,0,0,0,0,617,619,0,0,0,172,0,3,4,2,5,617,0,0,"2039-4-19",0,1,-1,0
